id,detected_objects,Dominant Emotion,Dominant Race,gender,age,age_group,sentiment_analysis,img,label,text
1235,person,happy,middle eastern,man,43,35-44 years,bad,img/01235.png,1,when you're feeling horny asf but your habibi is on periods let's try a goat
1236,"person, sheep, sheep, sheep, person, sheep, sheep, sheep, sheep, person, person, person, sheep, cow",happy,middle eastern,man,35,35-44 years,bad,img/01236.png,0,meanwhile at the isis strip club
1243,dog,,,,,,neutral,img/01243.png,0,"when your human says ""who' s a good girl?"" and you already know it's you"
1245,person,,,,,,bad,img/01245.png,1,and that was the last nativity play my son was invited to take part in
1247,"tie, person",sad,white,man,28,25-34 years,good,img/01247.png,1,you can't be racist if there is no other race
1256,dog,,,,,,neutral,img/01256.png,1,when your debit card decline at the abortion clinic and they have to put the baby back in
1258,"person, umbrella, backpack, umbrella",,,,,,neutral,img/01258.png,0,ladies! if your man is offended by this he is a faggot. end of story
1264,bear,,,,,,bad,img/01264.png,0,you're a special kinda nuts aren't you?
1269,teddy bear,,,,,,neutral,img/01269.png,1,kermit the frog definitely not a muslim
1274,"person, bed",neutral,asian,man,39,35-44 years,neutral,img/01274.png,0,how you guys think you looks like but when pados wale pandit jee sees you taba renso
1275,"tie, person, motorcycle",angry,black,man,41,35-44 years,bad,img/01275.png,0,if you think t willl stop eating palony and viannas voetsek!!! stupid no brain here
1276,person,,,,,,bad,img/01276.png,0,a smile is worth a thousand words
1293,bird,,,,,,bad,img/01293.png,0,when you forget to wash your hands
1295,"chair, chair, person, chair, chair, chair, chair",,,,,,bad,img/01295.png,1,"men wearing dresses and molesting our children? the word you're looking for is clergy, not transgender"
1327,person,,,,,,bad,img/01327.png,0,"i'm not sick, i'm twisted sick makes it sound like there's a cure"
1329,"person, person, suitcase",,,,,,bad,img/01329.png,1,saddle up motherfuckers it's time to play cowboys
1348,"person, sheep, sheep, sheep, person, sheep, sheep, sheep, sheep, person, person, person, sheep, cow",happy,middle eastern,man,35,35-44 years,bad,img/01348.png,0,meanwhile at the isis strip club
1349,"person, person",happy,asian,man,24,18-24 years,good,img/01349.png,1,girl you're so special i'm gonna give you a gold star
1379,"person, person, person",,,,,,bad,img/01379.png,0,american teenage girl visiting the children of africa
1382,person,,,,,,neutral,img/01382.png,0,my body my choice
1389,"cat, person",,,,,,bad,img/01389.png,0,confession-every sunday around brunch time i take my cat to the mall and make people take pictures of us
1392,"cell phone, person",happy,black,man,29,25-34 years,bad,img/01392.png,0,hello jesus thanks for making a way!
1395,"person, person",fear,asian,man,33,25-34 years,bad,img/01395.png,1,i just found out mexican babies come out just like the food
1423,"person, bed",,,,,,neutral,img/01423.png,0,when you want to nap after a long day of mudding
