id,detected_objects
27608,person
29630,"cow, cow, giraffe"
95087,"person, person, person, person, person, person, person, person, person, person, person, person, person, tie, person, bench"
18504,"person, person, person, person, person, person, tie, person, person, potted plant, person"
67842,"person, cell phone"
52948,"boat, boat, boat, boat, boat, bear, boat, dog"
97521,person
27946,"person, handbag, person, potted plant, potted plant, potted plant, handbag, cell phone"
79182,"zebra, bird"
81536,person
5269,"person, person, person, person"
7268,"person, car, person, car, car"
31687,"person, tie"
28134,"tie, person, person, person, person, tie, person, person, person, tie, tie, tie, tie, person, tie, person, tie, person, person, tie, person, person, person, person, tie"
14856,"person, truck"
70843,person
85023,"person, person, horse"
20738,person
51627,"person, person"
59231,"cell phone, person, cell phone, oven, chair, laptop"
16785,"bowl, person, person, dining table"
21063,"tie, person"
26973,person
48396,person
78345,"cat, cat, dog"
84629,bear
35907,"person, vase, dog, book, book, book, vase, book, cup, book, book, book"
83052,"dog, person"
40257,"person, motorcycle, bowl, dining table, bowl"
27163,dog
69178,"tie, person, person, person, person, person, person, tie"
26547,bird
24986,"horse, person, horse"
82134,person
45093,"person, bed"
56428,"person, person"
10857,"person, tie"
3691,"person, person, person, person, book, person, person, person, person, chair, person, person, laptop, keyboard, chair"
37829,"person, person, person, person, person, person, person, traffic light, person, person, person, person, person, person"
96250,"person, cell phone, handbag"
8452,"person, tie, tie"
83091,"tie, person"
61890,person
62398,person
80625,person
29581,"person, person, person, person, person, person, person, person, person, person, person"
1578,"person, person, person, person, person, person, person, person, sports ball, person, person, person, person, person, frisbee"
16573,"banana, carrot, carrot"
92160,"person, tie"
53214,"person, potted plant"
60483,"sheep, sheep"
28690,person
68901,person
86159,"person, cell phone, person, cell phone, person, cell phone, person"
2891,person
40796,person
24108,"wine glass, tie, person"
97826,"person, tie, person"
65712,person
64758,"person, person, person, person, person, person, person, person"
4786,bird
56274,cat
38514,"person, person, person, person, tie, person, person, tie, person"
89423,"person, person, tie, baseball bat"
75086,person
37560,cat
37641,person
34508,person
1823,person
80397,"person, sports ball"
65908,"person, person, bird, person"
82037,"mouse, person"
46375,person
65308,"person, person, cell phone, tie, cell phone, cell phone, car, tv, laptop, mouse, person"
60539,"tie, person, sports ball"
43128,"person, person, person, person"
35789,person
50768,"wine glass, person, cup, wine glass"
17348,dog
70284,person
89512,"person, person"
70324,"person, person"
10524,"dog, chair, person, couch, potted plant"
8251,person
87594,bird
24538,"person, cell phone, traffic light, person, cell phone, person, person, cell phone"
89320,person
52603,"person, car, person, person"
42986,person
35618,"person, couch"
5123,"person, person, cell phone"
91763,"person, tie, chair, chair"
1349,"person, person"
3267,person
61725,"person, backpack, person"
61578,"teddy bear, person"
49635,"person, bicycle, person"
78923,"dog, person"
28604,"person, person"
46087,person
5463,person
63812,person
9863,"person, person, person, person, person, person"
89726,"person, person, person"
13067,"person, dog, frisbee, dog"
81394,traffic light
41802,person
81259,"tie, person, person, person, person"
62580,person
84527,person
20819,"person, horse, person, person, person, cow, cow, cow, cow, person, cow, cow"
84971,person
76351,"person, chair, bottle, tie"
27485,"person, person"
6597,person
78251,person
92603,"person, person, tie, book"
54830,"person, person, suitcase"
95764,"dog, person, dog, cell phone, person"
80765,person
36982,"person, person"
64093,"person, person"
15203,person
98632,"person, person, person"
71230,"person, person, person, person, person, person, tie, traffic light, person, tie"
3251,person
78904,person
17209,"person, person, person, person, person, person, person, person"
24738,person
95281,person
3418,"person, person"
34870,"person, wine glass, bird, person, person, wine glass, bird, bird, sheep, sheep, bird, bird, bird, bird, bird, sheep"
36875,person
8954,person
92768,parking meter
40372,person
83675,cow
15064,person
54710,"person, tie"
75340,"person, person, person, person, person, person, person, person, person, person, person, person, tie, person"
17850,"person, tie"
48170,"chair, person"
84719,person
87691,person
62970,"person, person, person, horse, person"
16437,person
57134,"tie, teddy bear"
17845,"person, person"
51249,"person, baseball bat"
21963,"tie, person, person, person, person, person, person, person, person, person, person, person, tie, person, person, person, person"
73205,person
64821,"person, tie, person, person, car, person, backpack, person, handbag, person, person"
30742,"tie, person"
6387,"chair, potted plant, remote, chair, person, couch"
96417,"dog, dog, cell phone"
51284,"person, person, person, car, person, person, bottle"
56713,"tie, person, potted plant, book"
56497,"person, person, person, person, car"
5972,"person, person, bottle, person, bottle, bottle, chair, bottle, bottle, chair, donut"
97501,person
67041,person
97831,"person, person"
74390,"traffic light, traffic light, person, person, traffic light"
46175,"person, person, backpack"
10693,"person, person, person, person, cup"
9713,bird
40539,bear
89360,"person, person, person, car, car, dog, dog, car, car, person, person, horse, person, person, person, car, dog, dog, person, person, person, dog, person, person, horse, person, person, dog, person, horse"
48051,"person, person"
32409,person
53812,"person, cell phone"
70281,person
76213,person
83651,person
12839,"person, person, cup"
48927,"dog, bed"
48271,"person, person, person, person, cell phone, tie, person, clock, person, person, person"
69312,"person, tie, person, tie"
42309,"person, person, person, person, umbrella, surfboard, person"
85930,"dog, frisbee"
1589,person
9834,"person, person, person"
48517,person
47123,"person, tie"
58306,bird
79045,"person, person"
8546,"person, tie"
9217,"toothbrush, person, banana"
50271,"person, tie"
96745,"laptop, person, cell phone"
30816,"person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, handbag, person"
31590,"person, person, tv, chair, suitcase, person, suitcase"
30745,person
8439,person
10976,person
79146,person
32980,person
1793,person
34598,chair
92547,"tie, person"
82154,banana
19258,person
69813,"person, baseball bat"
65832,"person, bird"
50748,vase
90417,clock
34091,person
17289,"person, tie"
30412,"person, person, banana"
46830,person
16952,"person, person, person, person, person, person, person, person"
74013,person
5749,"person, person, sports ball"
47561,"person, book, book, book, book, book"
18094,person
36097,"person, person, banana"
72910,"person, person, book, person, person, person, book"
21640,"person, person"
34075,"person, person"
37182,person
65478,"person, person"
10329,"horse, person"
63957,person
32706,"person, tie, baseball bat"
18693,person
27905,person
37021,"person, person"
56107,"bird, person, cell phone"
68751,"tie, person"
53642,bird
61840,"person, person, person, person, person, person, person, person, person"
15439,banana
42715,"person, person, person, tie, person, person, person, person, person, person"
36459,"person, person"
35924,bear
16473,person
59304,"person, potted plant, person, cell phone"
71365,person
27195,person
14037,bird
70658,"tie, person, person, person, person"
31907,"tie, person"
71265,"person, car"
52681,"person, car"
13049,"person, cup, cup, person, bench, chair, person, fork, dining table, cake, person"
46832,person
95831,"car, car, car, dog, car"
58906,person
4859,person
18526,"person, person, person, person, cell phone, sheep, cell phone, book"
78064,"person, person, person, person, umbrella, person, person, horse, person, person, person, person, person, boat, person, person, person, person, person, person, horse"
4568,"person, person, person, person, person, person"
48617,"person, chair, chair, surfboard, bench, bench"
51726,person
10548,person
87409,dog
29137,person
5148,person
81395,person
92158,"sheep, sheep"
19062,person
52837,"person, tie, person"
89406,"person, truck"
87290,"cat, person, person, tie, person"
18294,"person, bench, car"
16720,person
70189,person
1379,"person, person, person"
72965,person
85417,"person, person, wine glass, wine glass"
76894,"tie, person, person, book, couch, clock, couch, bed"
34186,person
49723,"bottle, bottle, cup"
34209,"person, book"
94783,"person, person"
52716,dog
69815,person
57918,person
69174,"person, chair, book, chair, book, book, book"
67148,"person, bench"
17439,"fork, sandwich, sandwich, sandwich, carrot, broccoli, dining table, sandwich, carrot"
27901,"person, person, person, person, skateboard"
73518,"person, person, person, person, person, person, person"
21693,"person, cell phone, sink, person, cell phone, toaster, cup"
92183,"person, person"
93081,"person, person"
50961,"person, cake, person, person"
34215,"person, cake"
47196,person
92381,person
67318,person
60317,sheep
