id,text,sentiment_analysis
1235,when you're feeling horny asf but your habibi is on periods let's try a goat,bad
1236,meanwhile at the isis strip club,bad
1243,"when your human says ""who' s a good girl?""  and you already know it's you",neutral
1245,and that was the last nativity play my son was invited to take part in.,bad
1247,you can't be racist if there is no other race,good
1256,when your debit card decline at the abortion clinic  and they have to put the baby back in,neutral
1258,ladies! if your man is offended by this he is a faggot. end of story,neutral
1264,you're a special kinda nuts  aren't you?,bad
1268,father and daughter bonding time is the best like and share if you agree,neutral
1269,"The text in the image says:  ""kermit the frog definitely not a muslim""",neutral
1274,how you guys think you looks like  but when pados wale pandit jee sees you  taba renso,neutral
1275,if you think t willl stop eating palony and viannas  voetsek!!!  stupid no drama here,bad
1276,a smile is worth a thousand words,bad
1284,"The text in the image says:  ""muslims offend me""",bad
1293,when you forget to wash your hands,bad
1295,"The text in the image reads:  ""men wearing dresses and molestinging our children? the word you're looking for is clergy, not transgender""",bad
1324,the great train robbers,bad
1325,when your world cup team scores a goal,bad
1327,"I'm not sick, I'm twisted sick makes it sound like there's a cure",bad
1329,saddle up motherfuckers  it's time to play cowboys,bad
1348,meanwhile  at the isis strip club,bad
1349,girl you're so special  i'm gonna give you a gold star,good
1359,area 51 naruto runners  naruto runners  let me in let me in!,bad
1364,and that was the last nativity play my son was invited to take part in,bad
1379,"The text in the image reads:  ""american teenage girl visiting the children of africa""",bad
1382,The text in the image is:  - my body my choice - Abortion,neutral
1389,confession-every sunday around brunch time  i take my cat to the mall and make people take pictures of us,bad
1392,hello jesus  thanks for making a way!,bad
1395,i just found out mexican babies come out just like the food,bad
1423,when you want to nap after a long day of mudding,neutral
1436,when the school shooter accidently shoots the autistic kid but doesn't know that the tard strength makes him impervious to bullets,bad
1439,"The text in the image reads:  ""im long and strong and down to get the goat hump on""",bad
1452,the feeling after a long day at work,bad
1456,they see them rollin..... they hating...,bad
1459,trust me...  ...they're re all terrorists,bad
1465,there is difference between violating muslims and other muslims  don't get confused,bad
1467,It's a great day to be a honky!,bad
1468,"assad: my son exploded  better than yours, lol hamid:",bad
1469,"The text in the image is:  ""When you punch the muslim kid so hard that he starts having seizures and fucking dies the bomb has been defused""",bad
1472,in my country this headdress is common to wear if you want to. here in other countries i am also free to wear it if i want to,bad
1475,"The text in the image is:  ""last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad""",good
1476,I'm confident in my own skin,bad
1483,"feeling bored, let's go to a mosque",bad
1487,When you forget you're retarded Howard Stern 1-90-STEEN Howard Stern,bad
1492,i don't like the sun so i wear a visor,bad
1497,now back to the Islamic classic.. married to children,bad
1498,democrats claim daca kids shouldn't have to pay for their parent's crimes...  ...but white people are still responsible for 17th century slave owners??,good
1524,when you catch your goat with another man,neutral
1526,put the money in a bag. now! that will be $0.15,bad
1527,oh no i can't run anymore,good
1529,acceptance of individuality is not a disgusting thing,bad
1546,"The text in the image says:  ""kill the jews and muslims for being anti-white""",bad
1547,how mexicans be like...  when they hear their friends kid is having a birthday party,bad
1548,"what are they fighting over? is it:  a) the last pan ducle b) he accidentally touch the homies hand passing a beer? c) foo used the last of the three flowers. d) homie said ""i got you on gas"" but he only has $3!",bad
1564,puts on sunblock doesn't protect from harmful rays,bad
1568,"The text in the image reads:  ""do you think a terrorist has or could infiltrate our goverernment???""",bad
1569,when you can't decide to pre heat the oven  or just throw the meal in right away,bad
1576,"The text in the image is:  ""When your ex ask you for help""",bad
1578,"The text in the image says ""sea monkeys.""",bad
1579,"Muslim figure: ""We must have pork-free menus or we will leave U.S.""  Bacon America great again!",good
1589,has an orgasm...  ...shoots out tranny fluid,bad
1598,men are like dogs we're excited to see you...  and have no clue what you're mad about,bad
1627,jew jerky: leave out in the sun until all moisture is gone  store in a cool dark place for 3 days,bad
1634,"aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!""",bad
1637,this time jesus you're not getting away,bad
1642,this would be racist  if black people could read,bad
1643,i'm not a racist  my shadow is black,neutral
1649,"The text in the image reads:  ""american cops when they graduate police academy let the black man come forth! let murder be done upon him!""",good
1653,"a girl asks her mom, ""why am i black and you're white?""  she says, ""the way that party went, you're lucky you don't bark.""",good
1658,first rule of fight club..,bad
1672,when the new call of duty comes out and you're already camping,bad
1682,"The text in the image is:  ""fuck allah fuck islam and guck the child raper muhammad  and yes that's pork in the quran""",good
1694,which one should we butcher first.,bad
1698,this guy cut her head off workplace violence my ass,bad
1726,a real man loads the dishwasher every night,bad
1734,"and that was the last time we let uncle larry babysit  Little Jack Telf Was put on the shelf Because he would not spell When his aunt Grace [pie] Saw his sorrowful face, She gave him a pie.",good
1736,korean war soldiers come home msnbc no live coverage nbc no coverage cnn 58 seconds abc 24 seconds share if they should be ashamed,neutral
1742,in just one hour from now  i'll only have 4 hours left until i have to work a mere 3 hours,bad
1743,sen mitt romney wall declaration  let's make this his last to  utah  voted against trumps emergency,neutral
1746,everyone told me you gonna be a blessing,good
1749,so then we told them  cannabis is dangerous and pharmaceuticals are good for you,neutral
1756,she is a fast runner,bad
1763,want a spin?,bad
1765,"after a girl dies, what organ in her body stays warm? my dick",bad
1793,don't mind me i'm only watering my muslims,bad
1794,i beat children,bad
1796,life hack #23  how to get stoned with no weed,bad
1823,i too was once a male trapped in a female's body  but then i was born,good
1827,if your man is offended by this then he's never been hunting,bad
1829,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables,bad
1835,that makes my lady junk tingle,bad
1836,can you hear me at the back?,bad
1842,it's a wiener pit kinda like your mouth,bad
1845,when you consume too much  trans fat,neutral
1854,when an indian goes for walk with his dog,bad
1865,I'm this pretty because both my parents are white,neutral
1875,does anyone know if he had a donor card?  i need parts for my go-cart,bad
1892,i did not divide the country  the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country,good
1894,we haven't t seen any new jesus appearances on pancakes in a while  i hope he's okay.,bad
1896,terrorism is just part and parcel of living in a big city. sadiq khan london mayor  tokyo: over 13 million people no islamic terrorism,bad
1924,"The text in the image reads:  - ""whats the difference between a feminist and a suicide vest?"" - ""a suicide vest actually accomplishes something when its triggered""",bad
1925,i am not racist i just don't like brown sugar,neutral
1936,we said we would never forget why are you voting them into our governement?,good
1937,"when you find a shooter the same day you plan a bombing, so you team up",neutral
1943,person i chase: *shows clear signs he doesn't want to do anything with me*  me: i'm gonna pretend i didn't see that,bad
1953,"The text in the image reads:  ""muslim + hunt = less muslims""",bad
1954,the best part about a prostitute dying on you is you get the second hour free,bad
1956,i am a crocodile!,bad
1962,i put makeup for my profile photo,bad
1967,when you decide to stop racism by burning its symbol,bad
1972,you don't have a cat? this is your lucky day! i'm moving in!,bad
1974,The text in the image is:  - hiroshima - hiroshima - nagasaki - everybody needs a friend,bad
1975,valentine in islamic countries,bad
2139,no less beautiful,bad
2143,"doesn't have food, water, electricity proud of nuclear weapons",bad
2145,"and then I asked mom, what's for dinner?",neutral
2146,from the bottom of my heart i would like to sincerely apologize.....  for being white,bad
2153,when you're arguing with someone  Kermit the Frog  HOLLYWOOD WALK OF FAME Presented To Kermit The Frog on the occasion of the placement Hollywood Walk of Fame November 11 Hollywood Chamber  and trying notto hit them,good
2156,never forget,bad
2157,"mohammed  i'm pregnant....  don't sass me, you know it's funny! ~cupcakes",bad
2158,i like my women like i like my chickens held in captivity until i behead them,neutral
2165,The difference between moderate Muslim and radical Muslim  follow my allah or i kill you!  follow my allah or he kill,good
2168,how many fucking accounts do you assholes have?,bad
2169,"to see better, asi ans sometimes switch to fullscreen view",bad
2185,wceeeeee! back over the border you go!,neutral
2194,when you're a good farmer who raises healthy animals,bad
2315,don't forget me!!!!!! i'm an asshole too!!!,neutral
2316,they can kill the messenger but they can't kill the message,bad
