id,text
1235,when you're feeling horny asf but your habibi is on periods let's try a goat
1236,meanwhile at the isis strip club
1243,"when your human says ""who' s a good girl?""  and you already know it's you"
1245,and that was the last nativity play my son was invited to take part in.
1247,you can't be racist if there is no other race
1256,when your debit card decline at the abortion clinic  and they have to put the baby back in
1258,ladies! if your man is offended by this he is a faggot. end of story
1264,you're a special kinda nuts  aren't you?
1268,father and daughter bonding time is the best like and share if you agree
1269,"The text in the image says:  ""kermit the frog definitely not a muslim"""
1274,how you guys think you looks like  but when pados wale pandit jee sees you  taba renso
1275,if you think t willl stop eating palony and viannas  voetsek!!!  stupid no drama here
1276,a smile is worth a thousand words
1284,"The text in the image says:  ""muslims offend me"""
1293,when you forget to wash your hands
1295,"The text in the image reads:  ""men wearing dresses and molestinging our children? the word you're looking for is clergy, not transgender"""
1324,the great train robbers
1325,when your world cup team scores a goal
1327,"I'm not sick, I'm twisted sick makes it sound like there's a cure"
1329,saddle up motherfuckers  it's time to play cowboys
1348,meanwhile  at the isis strip club
1349,girl you're so special  i'm gonna give you a gold star
1359,area 51 naruto runners  naruto runners  let me in let me in!
1364,and that was the last nativity play my son was invited to take part in
1379,"The text in the image reads:  ""american teenage girl visiting the children of africa"""
1382,The text in the image is:  - my body my choice - Abortion
1389,confession-every sunday around brunch time  i take my cat to the mall and make people take pictures of us
1392,hello jesus  thanks for making a way!
1395,i just found out mexican babies come out just like the food
1423,when you want to nap after a long day of mudding
1436,when the school shooter accidently shoots the autistic kid but doesn't know that the tard strength makes him impervious to bullets
1439,"The text in the image reads:  ""im long and strong and down to get the goat hump on"""
1452,the feeling after a long day at work
1456,they see them rollin..... they hating...
1459,trust me...  ...they're re all terrorists
1465,there is difference between violating muslims and other muslims  don't get confused
1467,It's a great day to be a honky!
1468,"assad: my son exploded  better than yours, lol hamid:"
1469,"The text in the image is:  ""When you punch the muslim kid so hard that he starts having seizures and fucking dies the bomb has been defused"""
1472,in my country this headdress is common to wear if you want to. here in other countries i am also free to wear it if i want to
1475,"The text in the image is:  ""last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad"""
1476,I'm confident in my own skin
1483,"feeling bored, let's go to a mosque"
1487,When you forget you're retarded Howard Stern 1-90-STEEN Howard Stern
1492,i don't like the sun so i wear a visor
1497,now back to the Islamic classic.. married to children
